lat,lon,count,RUA
-7.2091422,-35.9363779,1,RUA SANTA TEREZINHA
-7.2199997,-35.9153527,1,RUA CARLOS ALBERTO SOUZA 
-7.2223667,-35.8734667,1,RUA QUINTINO PAULINO DA COSTA
-7.2570800,-35.9097373,1,AV JUSCELINO KUBITSCHEK 
-7.2385524,-35.8926909,1,RUA PEDRO SERAO
-7.2175764,-35.8716472,4,RUA SANTO ANTONIO 
-7.2225536,-35.8977286,3,RUA DUQUE DE CAXIAS
-7.2144979,-35.9016135,1,RUA NATANAEL BELO 
-7.2223667,-35.8734667,1,RUA PADRE CORNÉLIO
-7.2217437,-35.9179453,1,RUA MANOEL GUIMARAES MORAIS 
-7.2051179,-35.9005047,1,RUA ANTONIO SOARES DA SILVA
-7.2433129,-35.9233968,1,RUA JAMILA ABRAÃO JORGE
-7.2223667,-35.8734667,1,RUA JOÃO FAZIO DE ALMEIDA
-7.2223667,-35.8734667,1,RUA CRISELDA
-7.2421834,-35.8979250,1,RUA PEDRO BRASIL 
-7.2678080,-35.9189876,1,RUA CÁSSIO FIGUEREDO
-7.2059804,-35.8962939,1,RUA POBRO CÂMARA 
-7.2115693,-35.8549486,1,RUA JOÃO AMARO
-7.2223667,-35.8734667,2,RUA ODON SEVERIANO DE SOUZA
-7.2198289,-35.9215300,1,RUA PACÍFICO LECARIÃO DE TRINDADE
-7.2302734,-35.9005177,1,RUA DA REPUBLICA
-7.2298794,-35.9279763,1,RUA CAICO
-7.2324008,-35.8912715,2,RUA RIO BRANCO
-7.2223667,-35.8734667,1,RUA MANUEL RAIMUNDO DE SOUSA
-7.2212517,-35.8836956,1,RUA MAJOR JUVINO DO DÓ
-7.2274679,-35.8701935,1,RUA SILVA JARDIM 
-7.2223667,-35.8734667,1,RUA ISOLDA BARROS TORQUATO
-7.2483051,-35.9289759,2,RUA NEREU GUSMÃO BASTOS
-7.2525188,-35.9004089,1,RUA ANTONIO FIGUEIREDO AGRA 
-7.2208531,-35.8686463,1,RUA SGT EDSON SALES 
-7.2175764,-35.8716472,2,RUA SANTO ANTONIO
-7.2223667,-35.8734667,1,RUA JUAZEIRO
-7.2221776,-35.9102052,1,RUA SÃO VICENTE
-7.2604071,-35.9115860,1,TV JUSCELINO KUBISCHEK
-7.2210328,-35.9207898,1,RUA DAMIAO JOSE RODRIGUES 
-7.2199041,-35.8770149,1,RUA MANOEL P. DE ARAUJO
-7.2223667,-35.8734667,1,AV CANAL DO PRADO
-7.2027714,-35.8825859,1,RUA MANOEL ELIAS DE CASTRO 
-7.2458570,-35.8778745,1,RUA JOÃO PESSOA
-7.2202351,-35.8626979,1,RUA JOSE ARANHA
-7.2149224,-35.8838690,1,RUA JOAO ALVES DE OLIVEIRA 
-7.2223667,-35.8734667,1,RUA ORESTES DUARTE DE ARAÚJO
-7.2433790,-35.8841384,1,RODOVIA BR 104
-7.2699120,-35.8971647,2,AV BRASILIA
-7.2458570,-35.8778745,1,RUA JOAO PESSOA
-7.2266612,-35.8927892,1,RUA DOM PEDRO I
-7.2474010,-35.8977479,1,RUA ERNESTO DO RÊGO 
-7.2196143,-35.8680883,2,RUA MAMEDE MOISES RAIA
-7.2223667,-35.8734667,1,RUA IREMAR VILARIM 
-7.2294948,-35.8907541,1,RUA MINAS GERAIS 
-7.2179827,-35.8836460,1,RUA MACIEL PINHEIRO
-7.2153612,-35.8729548,1,RUA SANTA CECILIA
-7.2161225,-35.8725912,1,RUA ARRUDA CAMARA
-7.2275983,-35.8770020,1,AV ELPIDIO DE ALMEIDA
-7.2200849,-35.8812143,1,RUA JOÃO LOURENÇO PORTO
-7.2427429,-35.8716390,1,RUA GERALDO PORTO 
-7.2109309,-35.8810669,1,RUA JOSE DO O
-7.2317842,-35.8785139,1,RUA CUREMAS
-7.2465473,-35.8947422,1,RUA CASSIANO PEREIRA
-7.2202454,-35.8941189,1,RUA ANTENOR NAVARRO
-7.2229897,-35.9135593,1,RUA SANTA BARBARA
-7.2228389,-35.8842263,1,RUA IRINEU JOFILLY
-7.2256808,-35.9326940,1,RUA LUIZ FLORENTINO DE SOUSA
-7.2157729,-35.8698447,1,RUA NEUZA BORBOREMA
-7.2483569,-35.9284381,1,RUA ALCIDES AVELINO DE MEDEIROS
-7.2294646,-35.9110185,2,RUA ALMEIDA BARRETO
-7.2604071,-35.9115860,1,RUA JUSCELINO KUBSTECHEK 
-7.1983681,-35.8783507,1,RUA DOUTOR VASCONCELOS 
-7.2447102,-35.9080866,1,RUA ANTONIO JOAQUIM DE CARVALHO 
-7.2383857,-35.8860420,3,RUA VINTE E QUATRO DE MAIO 
-7.2400300,-35.9086563,1,RUA HENRIQUE SALES MONTEIRO
-7.2049314,-35.9503141,1,RUA MANOEL MOTA
-7.2229412,-35.9068041,1,RUA SANTA LUZIA
-7.2146094,-35.8733014,16,AV FLORIANO PEIXOTO
-7.2139712,-35.8697107,1,RUA ORESTES FIALHO DE ARAUJO
-7.2217283,-35.9163941,1,RUA APRIGIO VELOSO 
-7.2312441,-35.9210905,1,RUA DOUTOR EDUARDO CORREIA DE LIMA
-7.2365463,-35.9028056,2,RUA COSTA E SILVA
-7.2151451,-35.8811232,1,RUA JANUNCIO FERREIRA 
-7.2557331,-35.9229711,1,RUA SEVERINO FELIPE DE SOUZA
-7.2294633,-35.8711409,1,RUA AMELIA VIEIRA 
-7.2223667,-35.8734667,1,RUA RICARDO VAGNER DA SILVA PAZ
-7.2461142,-35.9031862,1,RUA ZEZINHO UCHOA
-7.2338966,-35.8729918,1,RUA OTACILIO NEPOMUCENO
-7.2056033,-35.9038021,1,RUA VINTE E SETE DE JULHO 
-7.2354700,-35.8962185,1,RUA ALMIRANTE BARROSO
-7.2483569,-35.9284381,1,RUA ALCIDES
-7.2173955,-35.8858229,1,AV JOAO PESSOA
-7.2223667,-35.8734667,1,RUA JOAO FRANCISCO DE ANDRADE 
-7.2410812,-35.8880520,3,AV ASSIS CHATEAUBRIAND
-7.2561681,-35.8863242,1,RUA DO JUA
-7.1514743,-35.8515564,1,RUA PROJETADA
-7.2281990,-35.9189281,1,RUA FREIRA FRANCISCA GUSMAO 
-7.2337762,-35.9257241,1,RUA MOSSORO
-7.2380112,-35.9219662,1,RUA DOUTOR AUGUSTO DE ALMEIDA
-7.2355900,-35.9312681,1,RUA MARIA DA MUNIS DE ALBUQUERQUE
-7.2509654,-35.9273498,3,RUA FRANCISCO LOPES DE ALMEIDA
-7.2439938,-35.9012720,1,RUA JOSE GONCALVES LUCENA 
-7.2283635,-35.8791107,9,AV CANAL
-7.2433129,-35.9233968,2,RUA JAMILA ABRAAO JORGE
-7.2265122,-35.8792653,1,RUA PAULO DE FROTIM
-7.2610776,-35.9207100,1,RUA TAMANDUA
-7.2570800,-35.9097373,1,RUA JUSCELINO KUBISCHECK
-7.3389658,-35.8989185,1,RUA ASSIS CHATEAUBRIAND
-7.2210903,-35.8787309,6,RUA VILA NOVA DA RAINHA
-7.2216448,-35.8868601,4,RUA TREZE DE MAIO
-7.2570800,-35.9097373,3,RUA JUSCELINO KUBITSCHEK
-7.2441903,-35.8749261,1,RUA LEVI MENEZES 
-7.2424087,-35.9276399,1,RUA CARLOS FORMIGA
-7.2386942,-35.8669442,1,RUA JOSÉ BERNARDINO
-7.2230627,-35.9200239,1,RUA DOUTOR SEVERINO RIBEIRO CRUZ 
-7.2217283,-35.9163941,1,RUA APRIGIO VELOSO
-7.2235857,-35.8839771,1,RUA MIGUEL COUTO
-7.2444422,-35.8884102,1,RUA PREFEITO ANTONIO COUTINHO 
-7.2137099,-35.8724961,1,RUA SALVINO OLIVEIRA NETO 
-7.2309417,-35.8680489,1,RUA JUVINO DO O
-7.2579169,-35.8973755,1,RUA JOSE ALVES
-7.2342495,-35.8586875,1,RUA FERNANDES VIEIRA
-7.2104940,-35.8854415,1,RUA FREI MARTINHO
-7.2410812,-35.8880520,2,AV ASSIS CHATEAUBRIAND 
-7.2386737,-35.9083258,2,RUA SÃO PEDRO
-7.2193398,-35.8816382,2,RUA AFONSO CAMPOS 
-7.2326387,-35.8762613,1,RUA JOAO LELIS
