RUA CRISTINA PROCOPIO SILVA,-7.2367717,-35.8822326
RUA ANTÔNIO JOAQUIM PEQUENO ,-7.2181369,-35.9088333
RUA MOSSORO,-7.2337762,-35.9257241
RUA SEVERINO PIMENTEL ,-7.2416973,-35.8938156
RUA OLEGÁRIO MACIEL,-7.1987196,-35.9159098
RUA DOS PAUS D ARCOS ,-7.2404667,-35.925459
RUA TOMÁS SANTA ROSA ,-7.2136601,-35.900506
TRAVESSA JOSÉ PEREIRA DE ARAUJO ,-7.2783445,-35.9113037
RUA OSVALDO CRUZ,-7.2256211,-35.9024741
RUA JOAQUIM GONÇALVES,-7.2265639,-35.9092725
TRAVESSA VICENTE GOMES DE ALMEIDA,-7.2139995,-35.9252924
RUA LEOCÁDIO GOMES ,-7.2223667,-35.8734667
RUA CORONEL JOÃO LOURENÇO PORTO ,-7.2200849,-35.8812143
RUA SEVERINO PIMENTEL ,-7.2416973,-35.8938156
RUA ELIZABETE ARRUDA ,-7.2293298,-35.9185489
RUA MARQUES DO HERVAL ,-7.2186352,-35.8850358
RUA NILO PECANHA,-7.2221612,-35.8960666
AVENIDA ELPIDIO DE ALMEIDA,-7.2275983,-35.877002
RUA ORDENÊS TROVÃO DE MELO,-7.2223667,-35.8734667
RUA SERGIPE,-7.2554797,-35.8890108
RUA SERGIPE,-7.2554797,-35.8890108
AVENIDA FLORIANO PEIXOTO,-7.2146094,-35.8733014
AVENIDA ASSIS CHATEAUBRIAND,-7.2410812,-35.888052
RUA DAS JABOTICABEIRAS,-7.2453872,-35.9253644
RUA AUGUSTO DOS ANJOS,-7.2275052,-35.8733177
RUA COSTA E SILVA,-7.2365463,-35.9028056
RUA EUCLIDES SEVERIANO,-7.2069524,-35.8910295
RUA CARLOS ALBERTO SOUZA ,-7.2199997,-35.9153527
RUA MARTA REGINA,-7.2223667,-35.8734667
RUA MANOEL SABINO,-7.2273218,-35.9240747
AVENIDA MANOEL TAVARES,-7.2016942,-35.8763767
RUA SANTO ANTÔNIO,-7.2175764,-35.8716472
RUA PRESIDENTE NILO PEÇANHA ,-7.2221612,-35.8960666
RUA MACIEL PINHEIRO ,-7.2179827,-35.883646
RUA TRANQÜILINO COELHO LEMOS,-7.2371684,-35.9179367
RUA QUERUBINA PERREIRA DOS SANTOS ,-7.2485448,-35.9270863
RUA APRÍGIO PEREIRA NEPOMUCENO ,-7.243501,-35.8954198
AVENIDA FLORIANO PEIXOTO,-7.2146094,-35.8733014
RUA IRINEU JOFILI ,-7.2217097,-35.8843948
RUA ASSEMBLEIA DE DEUS,-7.2056033,-35.9038021
RUA ESPÍRITO SANTO,-7.2306975,-35.892817
