COD,RUA,REFERENCIA,ABRIGO,LATITUDE,LONGITUDE,ROTA1,ROTA2,ROTA3,ROTA4,ROTA5,ROTA6,ROTA7,ROTA8,ROTA9,ROTA10,ROTA11,ROTA12,ROTA13
718,PROFESSOR ARIEL DE OLIVEIRA,445,,-7.250495022162795,-35.89446097612381,111,245,,,,,,,,,,,
719,GETULIO CAVALCANTE,1551,,-7.248332994058728,-35.893814982846379,111,245,,,,,,,,,,,
720,GETULIO CAVALCANTE,1071,,-7.243864014744759,-35.894302977249026,111,245,,,,,,,,,,,
722,GETULIO CAVALCANTE,1730 - OPOSTO,,-7.249989006668329,-35.893599987030029,111,245,,,,,,,,,,,
723,LUIZ SODRE FILHO,435,,-7.244320996105671,-35.877939993515611,004,,,,,,,,,,,,
724,LUIZ SODRE FILHO,01 - OPOSTO,SIM,-7.24455401301384,-35.87570495903492,004,,,,,,,,,,,,
725,LUIZ SODRE FILHO,18 - OPOSTO,,-7.244596006348729,-35.874790996313095,004,,,,,,,,,,,,
726,CONSUL JOSEPH NOUJUAIN HABIB NACAD,CEDUC - OPOSTO,,-7.229449991136789,-35.879935976117849,444,004,,,,,,,,,,,
727,ANTONIO GUEDES DE ANDRADE,103 - VIZINHO,,-7.227818034589291,-35.880234036594629,004,,,,,,,,,,,,
728,PAULO DE FRONTEIN,SESC - OPOSTO,SIM,-7.227791966870427,-35.88231903500855,004,,,,,,,,,,,,
729,VILA NOVA DA RAINHA,COLEGIO 11 DE OUTUBRO,,-7.22036199644208,-35.879335999488831,444,004,944,903,,,,,,,,,
730,VILA NOVA DA RAINHA,141,,-7.221836959943175,-35.878208968788385,444,004,944,903,955,,,,,,,,
731,VILA NOVA DA RAINHA,23 - VIZINHO,,-7.222623014822602,-35.877588959410787,444,044,944,903,955,,,,,,,,
732,JOAO FLORENTINO DE CARVALHO,VIALUZ - OPOSTO,,-7.224335018545389,-35.876784967258573,055,092,444,955,,,,,,,,,
733,OTACILIO NEPOMUCENO,OC CONTABILIDADE - OPOSTO,,-7.229913007467985,-35.87634801864624,004,,,,,,,,,,,,
734,OTACILIO NEPOMUCENO,AUTOMOTIVA - OPOSTO,SIM,-7.231164006516337,-35.875320984050632,004,,,,,,,,,,,,
735,OTACILIO NEPOMUCENO,490,,-7.232483988627791,-35.87424399331212,004,,,,,,,,,,,,
736,DOUTOR JOAO PEQUENO,32,,-7.233873037621379,-35.876737022772431,004,,,,,,,,,,,,
737,LUIZ SODRE FILHO,12,,-7.244528029114008,-35.874537024646997,004,,,,,,,,,,,,
738,LUIZ SODRE FILHO,276,,-7.244337005540729,-35.876901978626847,004,,,,,,,,,,,,
739,VALDEMIRA EMILIA PINTO,57,,-7.242151005193591,-35.879685021936893,004,,,,,,,,,,,,
740,VALDEMIRA EMILIA PINTO,20,,-7.242128038778901,-35.879564993083477,004,,,,,,,,,,,,
741,VALDEMIRA EMILIA PINTO,200 - VIZINHO,,-7.242229962721467,-35.881874961778522,004,,,,,,,,,,,,
742,VALDEMIRA EMILIA PINTO,201 - VIZINHO,,-7.242247983813286,-35.881776977330446,004,,,,,,,,,,,,
