"RUA","lat","long"
"RUA ANTENOR NAVARRO ","-7.2202454","-35.8941189"
"RUA CORONEL JOÃO FIGUEIREDO","-7.2272312","-35.9188297"
"AV ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA JOSÉ EVARISTO PEREIRA DA COSTA","-7.2085146","-35.8892142"
"AV ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA ARNALDO ALBUQUERQUE ","-7.2024090","-35.8767899"
"PRAÇA DA BANDEIRA","-7.2195995","-35.8849528"
"RUA VALFREDO GOMES DE ARAUJO","-7.2223667","-35.8734667"
"RUA JOSÉ FIRMINO","-7.2533384","-35.8945744"
"RUA JAMILA ABRAÃO JORGE","-7.2433129","-35.9233968"
"AV VIGARIO CALIXTO","-7.2563153","-35.8787877"
"RUA NAPOLEAO LAUREANO","-7.2110008","-35.8822814"
"RUA SUENIA PEREIRA NEVES","-7.2438230","-35.9135307"
"RUA NILDA DE QUEIROZ NEVES ","-7.2223667","-35.8734667"
"RUA NILDA DE QUEIROZ NEVES ","-7.2223667","-35.8734667"
"RUA CARNEIRO DA CUNHA","-7.2107465","-35.8995920"
"RUA VIDAL DE NEGREIROS ","-7.2212168","-35.8826753"
"RUA LOURENÇO PORTO ","-7.2200849","-35.8812143"
"RUA BAIRRO DA GLORIA","-7.2223667","-35.8734667"
"RUA PAULO PONTES","-7.2284081","-35.9108383"
"RUA LICIONÉIA MARIA DA CONCEIÇÃO","-7.2111244","-35.8866017"
"RUA SILVA JARDIM","-7.2274679","-35.8701935"
"AV MANOEL TAVARES","-7.2016942","-35.8763767"
"RUA APRIGIO NEPOMUCENO","-7.2435010","-35.8954198"
"RUA PEDRO LEAL ","-7.2353559","-35.8863766"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA ARNALDO ALBUQUERQUE ","-7.2024090","-35.8767899"
"RUA MONTEVIDEO","-7.2199459","-35.8982760"
"RUA JOSÉ DE ALMEIDA JÚNIOR ","-7.2303672","-35.8945040"
"RUA IAIÁ DE AZEVEDO DANTAS","-7.2223667","-35.8734667"
"RUA CARLOS FORMIGA","-7.2424087","-35.9276399"
"RUA CARLOS FORMIGA","-7.2424087","-35.9276399"
"AVENIDA WAGNER ","-7.2194372","-35.9127606"
"RUA MACIEL MALHEIRO","-7.2151848","-35.8695738"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA MARQUES DO HERVAL","-7.2186352","-35.8850358"
"RUA JORNALISTA VALTER MENDONÇA","-7.2434787","-35.9082875"
"RUA PORTUGAL","-7.2235079","-35.9151396"
"RUA MEN DE SÁ ","-7.2350815","-35.9071684"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA FRANCISCO CALIXTO ","-7.2130820","-35.9021875"
"RUA DAMASCO","-7.2352333","-35.9049448"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"RUA MARIA DE LOURDES CRISPIM","-7.2196928","-35.9078565"
"RUA JOAO WALLIG","-7.2223667","-35.8734667"
"RUA REPUBLICA","-7.2302734","-35.9005177"
"RUA ANA MOREIRA","-7.2235342","-35.8674771"
"RUA MAMEDE MOISES RAIA ","-7.2196143","-35.8680883"
"RUA FLUTUOSO MATIAS VASCONCELOS","-7.2223667","-35.8734667"
"RUA MEN DE SA ","-7.2350815","-35.9071684"
"RUA TOMAS SOARES DE SOUZA ","-7.2310199","-35.8818576"
"RUA JOAQUIM AMORIM JR","-7.2264095","-35.9222325"
"RUA MARIA DE LOURDES CRISPIM","-7.2196928","-35.9078565"
"RUA CARLOS ALBERTO SOUZA ","-7.2199997","-35.9153527"
"RUA JOANA ALBERTO DA SILVA","-7.2223667","-35.8734667"
"RUA MONTEIRO LOBATO ","-7.2103599","-35.8804242"
"RUA JOAO PESSOA","-7.2458570","-35.8778745"
"RUA QUEBRA QUILOS","-7.2211282","-35.8774007"
"RUA AFONSO HENRIQUE CAVALCANTE","-7.2559025","-35.9122155"
"RUA IRINEU JOFFILY ","-7.2228389","-35.8842263"
"RUA RECIFE","-7.2507748","-35.9193773"
"AVENIDA VIGARIO CALIXTO","-7.2563153","-35.8787877"
"RUA FELIX CAROLINO BARBOSA ","-7.2085383","-35.8769662"
"RUA ALMEIDA BARRETO","-7.2294646","-35.9110185"
"RUA JOSE DO O","-7.2109309","-35.8810669"
"RUA ORDENES TROVAO DE MELO","-7.2223667","-35.8734667"
"RUA RIO DE JANEIRO","-7.2324716","-35.8918351"
"RUA QUINZE DE NOVEMBRO ","-7.1986848","-35.8959945"
"RUA NOSSA SENHORA DE LOURDES","-7.2115866","-35.8735199"
"RUA VENANCIO NEIVA ","-7.2181600","-35.8845104"
"RUA JOSÉ GOMES DE FARIAS","-7.2121814","-35.8606263"
"RUA JOSÉ GOMES DE FARIAS","-7.2121814","-35.8606263"
"RUA PETRÔNIO FIGUEIREDO","-7.2357916","-35.8936699"
"RUA MANOEL DO O JUNIOR ","-7.2451072","-35.8998723"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA AMSTERDAM","-7.2223667","-35.8734667"
"RUA DOM PEDRO I","-7.2266612","-35.8927892"
"AVENIDA RIO BRANCO","-7.2179285","-35.8950022"
"RUA SEVERINO ERMÍNIO DE CARVALHO ","-7.2276220","-35.9338638"
"RUA SEVERINO ERMÍNIO DE CARVALHO ","-7.2276220","-35.9338638"
"RUA BALTAZAR RODRIGUES DOS ANJOS ","-7.2223667","-35.8734667"
"RODOVIA PB 095","-7.2025273","-35.8447115"
"RUA DAS UMBURANAS","-7.2445951","-35.9262148"
"RUA DOUTOR PAULO RAMOS FIGUEIREDO ","-7.2496734","-35.8736797"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA PROJETADA","-7.1514743","-35.8515564"
"AV CANAL","-7.2283635","-35.8791107"
"RUA FRANCISCO LOPES ","-7.2275107","-35.9012895"
"RUA FREIRA FRANCISCA GUSMAO","-7.2281990","-35.9189281"
"RUA LUIZ SODRE FILHO ","-7.2441989","-35.8789807"
"RUA JOSE DE ALENCAR ","-7.2207460","-35.9019810"
"RUA MARIA ANTONIETA DE MARIZ MARQUES","-7.2429917","-35.9085577"
"RUA JOAO TAVARES","-7.2223259","-35.8820395"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JOAO VALDIVINO ALVES ","-7.2223667","-35.8734667"
"AV TRÊS IRMÃS","-7.2618149","-35.9215041"
"RUA JOSE DA GUIA LESSA SILVEIRA","-7.2223667","-35.8734667"
"RUA DAS QUIXABEIRAS","-7.2449100","-35.9215783"
"RUA DOS UMBUZEIROS","-7.2485367","-35.9230350"
"RUA FRANCISCO ALVES","-7.2530122","-35.9092220"
"AVENIDA PLINIO LEMOS","-7.2297637","-35.9258706"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RODOVIA BR 230","-7.2375122","-35.8679401"
"RUA ADAUTO PEDRO DE CARVALHO","-7.2761677","-35.9109680"
"RUA SILVA JARDIM ","-7.2274679","-35.8701935"
"AVENIDA QUINZE DE NOVEMBRO","-7.1986848","-35.8959945"
"RUA WILSON VASCONCELOS","-7.2223667","-35.8734667"
"RUA MARCILIO DIAS","-7.2183977","-35.8773161"
"RUA ABSALAO EMERENCIANO ","-7.2511199","-35.9035761"
"RUA ROKETI PINTO","-7.2108865","-35.9264473"
"RUA COREMAS","-7.2317842","-35.8785139"
"RUA MANOEL MARTINS DE OLIVEIRA","-7.2289543","-35.9344460"
"RUA ESTELITA CRUZ ","-7.2152210","-35.8811836"
"RUA JOAO ARLINDO CORREIA","-7.2223667","-35.8734667"
"RUA JOAO ARLINDO CORREIA","-7.2223667","-35.8734667"
"RUA VILA NOVA DA RAINHA ","-7.2210903","-35.8787309"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA JOSE DOROTEIA DUTRA ","-7.2409422","-35.8985434"
"RUA FRANCISCO CALIXTO","-7.2130820","-35.9021875"
"RUA JORNALISTA WALTER MENDONÇA","-7.2434787","-35.9082875"
"RUA PATOS","-7.2335851","-35.9280392"
"AVENIDA ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA JOSE ELPIDIO DA COSTA MONTEIRO TODA ","-7.2223667","-35.8734667"
"RUA DO IDEAL","-7.1876907","-34.8840135"
"RUA PEDRO DA COSTA AGRA ","-7.2254439","-35.8682139"
"RUA APRIGIO VELOSO ","-7.2217283","-35.9163941"
"RUA JOANA DARC","-7.2227657","-35.8720450"
"RUA ANTONIO ALVES DE LENO","-7.2227523","-35.8646399"
"RUA SEVERINO RAMOS DE ANDRADE","-7.2223667","-35.8734667"
"RUA SEBASTIAO DONATO","-7.2242365","-35.8868904"
"RUA TABERNACULO","-7.2254436","-35.9019078"
"RUA ADERALDO VASCONCELOS DINIZ ","-7.2223667","-35.8734667"
"PRACA DA BANDEIRA","-7.2195995","-35.8849528"
"RUA CLEMENTINO SIQUEIRA ","-7.2064363","-35.8726168"
"RUA ALAGOAS","-7.2349511","-35.8925713"
"RUA SEVERINO PIMENTEL","-7.2416973","-35.8938156"
"RUA MANOEL ALVES DE OLIVEIRA","-7.2509440","-35.8860939"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JOSÉ ELPIDIO DA COSTA MONTEIRO","-7.2270236","-35.8958135"
"RUA OSVALDO CRUZ","-7.2256211","-35.9024741"
"RUA DEPUTADO ALVARO GAUDENCIO ","-7.2221843","-35.8802436"
"RUA DOUTOR VASCONCELOS","-7.1983681","-35.8783507"
"RUA PADRE ANCHIETA","-7.2317536","-35.8790035"
"RUA MAESTRO NILO LIMA","-7.2246450","-35.9186757"
"RUA DIONISIO MARCILIO DE ALMEIDA","-7.2223667","-35.8734667"
"RUA DO FOGO","-7.2223667","-35.8734667"
"RUA MONTE CARMELO","-7.2218340","-35.9033979"
"TRAVESSA CARMEM MIRANDA ","-7.2496081","-35.9084243"
"RUA ALDA LEITE","-7.2244462","-35.9001376"
"RUA ESTELITA CRUZ ","-7.2152210","-35.8811836"
"RUA ENFERMEIRO LUIZ ALVEZ FILHO","-7.2223667","-35.8734667"
"RUA SANTA CATARINA ","-7.2429091","-35.8905571"
"RUA IRINEU JOFFILY ","-7.2228389","-35.8842263"
"RUA PEREGRINO DE CARVALHO","-7.2175663","-35.8814012"
"RUA DOUTOR SEVERINO RIBEIRO CRUZ ","-7.2230627","-35.9200239"
"RUA ESTENIO LOMBARD MOZART DE LIMA","-7.2223667","-35.8734667"
"RUA DAS CASTANHOLAS","-7.1959963","-35.8807686"
"RUA QUINZE DE NOVEMBRO ","-7.1986848","-35.8959945"
"RUA ALMEIDA BARRETO","-7.2294646","-35.9110185"
"RUA FRANCISCO MENDONÇA","-7.2067937","-35.8919738"
"RUA QUEBRA QUILOS","-7.2211282","-35.8774007"
"RUA TRANQUILINO CORREIA DE LEMOS","-7.2223667","-35.8734667"
"RUA ANTONIO CIRILO GOMES","-7.2526892","-35.9033920"
"RUA ALICE GAUDENCIO ","-7.2159287","-35.8676504"
"RUA NEUSA BORBOREMA","-7.2157729","-35.8698447"
"RUA ELIZABETH ARRUDA","-7.2293298","-35.9185489"
"RUA REGENTE FEIJO","-7.2240478","-35.8738004"
"RUA SAO JANUARIO","-7.2048921","-35.9339515"
"RUA DOUTOR VASCONCELOS ","-7.1983681","-35.8783507"
"AVENIDA BELO HORIZONTE","-7.2490975","-35.9184154"
"RUA OLIVINA PEDRO DOS SANTOS","-7.2223667","-35.8734667"
"RUA DOUTOR JOAO MOURA ","-7.2251882","-35.8882068"
"RUA ANTONIO ANDRADE","-7.2354391","-35.9287437"
"RUA GONÇALVES DIAS","-7.2186207","-35.8481398"
"AVENIDA APRIGIO NEPOMUCENO","-7.2435010","-35.8954198"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA RUI BARBOSA","-7.2211950","-35.8859795"
"AVENIDA ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"RUA SIQUEIRA CAMPOS ","-7.2237598","-35.8931741"
"RUA BASILIO ARAUJO ","-7.2380335","-35.8715690"
"RUA EVA MARIA MOURA","-7.2529366","-35.9234612"
"RUA PERNAMBUCO ","-7.2334289","-35.8922382"
"RUA DOM PEDRO II","-7.2242362","-35.8912431"
"AVENIDA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA PROJETADA","-7.1514743","-35.8515564"
"AVENIDA RIO BRANCO","-7.2179285","-35.8950022"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JOSE SOARES DE SANTANA","-7.2488630","-35.8826889"
"RUA JOSE FIRMINO","-7.2533384","-35.8945744"
"AVENIDA GETULIO VARGAS","-7.2177546","-35.8916177"
"RUA MANOEL ALVES DE OLIVEIRA","-7.2509440","-35.8860939"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA DOUTOR AURÉLIO FEITOSA VENTURA","-7.2143063","-35.8683344"
"RUA IRINEU JOFFILY ","-7.2228389","-35.8842263"
"RUA VILA NOVA DA RAINHA ","-7.2210903","-35.8787309"
"RUA JOÃO MOURA","-7.2251882","-35.8882068"
"RUA OTACILIO NEPOMUCENO ","-7.2338966","-35.8729918"
"RUA TREZE DE MAIO","-7.2216448","-35.8868601"
"AVENIDA BRASILIA","-7.2699120","-35.8971647"
"RUA SEVERINO LUCENA VAZ RIBEIRO ","-7.2230627","-35.9200239"
"RUA ARIUS","-7.2331245","-35.8777079"
"RUA MELO LEITÃO","-7.2235596","-35.8926188"
"RUA FREI CANECA","-7.2234394","-35.8865472"
"RUA NOSSA SENHORA DE LOURDES ","-7.2115866","-35.8735199"
"RUA RUBENS SALDANHA","-7.2314698","-35.8699714"
"RUA PEDRO BRASIL ","-7.2421834","-35.8979250"
"RUA NILO PECANHA","-7.2221612","-35.8960666"
"RUA JOAO MAURICIO MEDEIROS ","-7.2134209","-35.8982596"
"RUA SEVERINO PIMENTEL","-7.2416973","-35.8938156"
"RUA JOÃO DA CUNHA LIMA","-7.2533869","-35.9150606"
"RUA OLINDA","-7.2348169","-35.9265695"
"RUA MANOEL ADOLFO DA COSTA ","-7.2486639","-35.9041712"
"RUA MANOEL ADOLFO DA COSTA ","-7.2486639","-35.9041712"
"AVENIDA ELPIDIO DE ALMEIDA ","-7.2275983","-35.8770020"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA CAMPOS SALES ","-7.2257831","-35.8724315"
"RUA CLAUDIO DA COSTA BARROSO ","-7.2758268","-35.9246835"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"AVENIDA PRINCIPAL","-7.2223667","-35.8734667"
"RUA MARQUES DO HERVAL ","-7.2186352","-35.8850358"
"RUA CATINGUEIRAS","-7.2482620","-35.9226636"
"RUA JOANA DARC","-7.2227657","-35.8720450"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA SEVERINO CRUZ","-7.2250564","-35.8816899"
"RUA MELQUIADES SILVA VIANA","-7.2223667","-35.8734667"
"RUA MELQUIADES SILVA VIANA","-7.2223667","-35.8734667"
"RUA CEL JOAO AECIO PORTO","-7.2223667","-35.8734667"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA JOSEFA MORAIS MAIA ","-7.2638100","-35.8960409"
"RUA ANTONIO CAVALCANTE ","-7.2224331","-35.9186564"
"RUA DA FARINHADA","-7.2223667","-35.8734667"
"RUA ALMANY JOSÉ TAVARES DE MELO ","-7.2223667","-35.8734667"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"RUA CAPITAO ADEMAR DE MAIA PAIVA ","-7.2019594","-35.8836936"
"AVENIDA GETÚLIO VARGAS","-7.2177546","-35.8916177"
"RUA FRANCISCO BRASILEIRO ","-7.2496543","-35.9119310"
"RUA MARIA DO CARMO NOBREGA","-7.2223667","-35.8734667"
"RUA JOÃO SUASSUNA","-7.2134032","-35.8939300"
"RUA QUEBRA QUILOS","-7.2211282","-35.8774007"
"RUA QUEBRA QUILOS","-7.2211282","-35.8774007"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA ARMANDO AMORIN PEREIRA ","-7.2223667","-35.8734667"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA AROLDO CRUZ ","-7.2529304","-35.8772051"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"RUA DR SEVERINO RIBEIRO CRUZ","-7.2230627","-35.9200239"
"RUA ANTONIO JOAQUIM PEQUENO","-7.2181369","-35.9088333"
"RUA RODRIGUES ALVES","-7.2197920","-35.8982818"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"TRAVESSA AUGUSTO BORBOREMA","-7.2489125","-35.9008403"
"RUA AFONSO CAMPOS","-7.2193398","-35.8816382"
"RUA CHILE","-7.2198744","-35.8649008"
"RUA PROFESSOR LUIS GIL","-7.2200918","-35.9980285"
"RUA MANOEL TAVARES","-7.2016942","-35.8763767"
"RUA RIO BRANCO","-7.2179285","-35.8950022"
"RUA JOSE SEBASTIAO DA SILVA","-7.2395701","-35.9023429"
"AVENIDA ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA JOSE SEBASTIAO DA SILVA","-7.2395701","-35.9023429"
"RUA BELO MONTE","-7.2201946","-35.8595604"
"RUA PEDRO BRASIL","-7.2421834","-35.8979250"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"AVENIDA ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA JOAO ALVES LIRA","-7.2180225","-35.9016593"
"RUA MARIA BARBOSA DE ALBUQUERQUE","-7.2321966","-35.9232224"
"RUA ANA CAVALCANTE","-7.2435114","-35.9144384"
"AVENIDA FRANCISCO LOPES DE ALMEIDA","-7.2538492","-35.9471573"
"RUA JOSELITA REIS BRASILEIRO ","-7.2335469","-35.8816880"
"AVENIDA ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA HELENO DE SOUZA DO Ó","-7.2300184","-35.9350368"
"RUA APOLONIO AMORIM ","-7.2223667","-35.8734667"
"RUA JOAO NOBERTO DA SILVA","-7.2408916","-35.8995220"
"RUA OSVALDO CRUZ TODA","-7.2223667","-35.8734667"
"RUA ARQUELAU DA COSTA DE GUIMARÃES","-7.2223667","-35.8734667"
"AVENIDA VIGÁRIO CALIXTO","-7.2563153","-35.8787877"
"RUA ALICE OLIVEIRA GONZAGA","-7.2436954","-35.9148714"
"RUA VENANCIO NEIVA","-7.2181600","-35.8845104"
"RUA AUGUSTO BORBOREMA","-7.2457010","-35.8991081"
"AVENIDA OSVALDO CRUZ","-7.2256211","-35.9024741"
"RUA DA PISCINA ","-7.2223667","-35.8734667"
"RUA SÃO JOAO","-7.2079079","-35.8949712"
"RUA PROFESSOR MIRON","-7.2297810","-35.8691086"
"RUA MANOEL PORTO","-7.2350128","-35.9090620"
"RUA FRANKLIN ARAUJO ","-7.2104718","-35.8769168"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA TOME DE SOUZA ","-7.2216092","-35.8699701"
"RUA SANTARÉM","-7.2312997","-35.9294593"
"AVENIDA ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA RODRIGUES ALVES","-7.2197920","-35.8982818"
"RUA NEUZA BORBOREMA SOUZA ","-7.2157729","-35.8698447"
"RUA GONÇALVES DIAS","-7.2186207","-35.8481398"
"RUA CARLOS FORMIGA PEREIRA","-7.2424087","-35.9276399"
"RUA JOAO BEZERRA PAES ","-7.2223667","-35.8734667"
"AVENIDA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA IDELFONSO AIRES","-7.2171021","-35.9004501"
"RUA PAULO ARAUJO SOARES","-7.2066444","-35.8776818"
"RUA BRAULIO ARAUJO GUSMAO ","-7.2586842","-35.9023882"
"RUA DUQUE DE CAXIAS ","-7.2225536","-35.8977286"
"RUA JOSÉ DE SOUSA ","-7.2284732","-35.9281247"
"RUA ANTENOR NAVARRO","-7.2202454","-35.8941189"
"RUA ALAGOAS","-7.2349511","-35.8925713"
"RUA ZEZINHO UCHOA","-7.2461142","-35.9031862"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA SGT EDSON SALES","-7.2208531","-35.8686463"
"RUA PEDRO BRASIL ","-7.2421834","-35.8979250"
"RUA CAMPOS SALES ","-7.2257831","-35.8724315"
"RUA RODRIGUES ALVES ","-7.2197920","-35.8982818"
"RUA DO SOL","-7.2331445","-35.9047539"
"RUA SERGIPE","-7.2554797","-35.8890108"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA FERNANDES VIEIRA ","-7.2342495","-35.8586875"
"RUA BUENOS AIRES","-7.2084533","-35.8734397"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"AVENIDA GETÚLIO VARGAS","-7.2177546","-35.8916177"
"RUA ANTONIO PEREIRA FUTUOZO","-7.2564180","-35.9065424"
"AVENIDA ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA ANTONIO CAVALCANTE ","-7.2224331","-35.9186564"
"RUA TIRADENTES","-7.2222968","-35.8859775"
"RUA FABIO DE SOUSA OLIVEIRA","-7.2484773","-35.9293991"
"RUA JAMILA ABRÃAO JORGE","-7.2433129","-35.9233968"
"RUA CARDOSO VIEIRA","-7.2183894","-35.8847321"
"RUA INSPETOR PEDRO CORREIA","-7.2223667","-35.8734667"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"RUA MONTEVIDEO","-7.2199459","-35.8982760"
"RUA ALICE DE OLIVEIRA GONZAGA","-7.2436954","-35.9148714"
"RUA DIONISIO ALMEIDA MAX","-7.2223667","-35.8734667"
"RUA JOSE DO PATROCINIO","-7.2256524","-35.8893318"
"RUA SILVA JARDIM","-7.2274679","-35.8701935"
"RUA MARIA DA GUIA MUNIZ","-7.2355900","-35.9312681"
"RUA DEPUTADO JOSE TAVARES ","-7.2181796","-35.8786288"
"RUA DAS UMBURANAS","-7.2445951","-35.9262148"
"AVENIDA ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA RAIMUNDO NONATO","-7.2316765","-35.8714851"
"RUA RODRIGUES DE FARIAS ","-7.2358406","-35.9049719"
"RUA MAILTON PEREIRA DE FARIAS","-7.2239147","-35.9157030"
"RUA DOUTOR SEVERINO RIBEIRO CRUZ ","-7.2230627","-35.9200239"
"RUA DOM PEDRO II ","-7.2242362","-35.8912431"
"RUA JOSÉ MARCILIO DE ANDRADE","-7.2223667","-35.8734667"
"RUA CORONEL ANIBAL FERREIRA","-7.2276544","-35.9194464"
"RUA APRIGIO VELOSO ","-7.2217283","-35.9163941"
"RUA SÃO JORGE","-7.2046889","-35.8970684"
"RUA MARQUES DO HERVAL","-7.2186352","-35.8850358"
"AVENIDA ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"RUA DESEMBARGADOR TRINDADE ","-7.2237799","-35.8840185"
"AVENIDA QUINZE DE NOVEMBRO","-7.1986848","-35.8959945"
"AVENIDA QUINZE DE NOVEMBRO","-7.1986848","-35.8959945"
"RUA SALVADOR","-7.2493976","-35.9165595"
"RUA ANA ALMEIDA DE CASTRO ","-7.2352459","-35.9022550"
"AVENIDA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA JOÃO TAVARES","-7.2223259","-35.8820395"
"AVENIDA VIGÁRIO CALIXTO","-7.2563153","-35.8787877"
"AVENIDA VIGÁRIO CALIXTO","-7.2563153","-35.8787877"
"AVENIDA VIGÁRIO CALIXTO","-7.2563153","-35.8787877"
"AVENIDA ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA FLORINDA HORÁCIO","-7.2223667","-35.8734667"
"RUA CAMPOS SALES ","-7.2257831","-35.8724315"
"RUA LEONARDO GOMES","-7.2454219","-35.8968870"
"PRAÇA DO TRABALHO","-7.2249468","-35.8924656"
"AVENIDA VIGÁRIO CALIXTO","-7.2563153","-35.8787877"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA NEUZA BORBOREMA SOUZA ","-7.2157729","-35.8698447"
"RUA CEL ANTONIO PESSOA","-7.2223667","-35.8734667"
"RUA IRINEU JOFFILY ","-7.2228389","-35.8842263"
"RUA CARDOSO VIEIRA ","-7.2183894","-35.8847321"
"TRAVESSA EDESIO SILVA","-7.2415243","-35.8923018"
"RUA CRISTINA COLAÇO","-7.2323342","-35.8817502"
"RUA TRANQUILINO COELHO LEMOS","-7.2371684","-35.9179367"
"RUA AGAMENON MAGALHAES ","-7.2112966","-35.8811609"
"RUA EPITACIO PESSOA","-7.2232794","-35.9006096"
"RUA NEUZA BORBOREMA SOUZA ","-7.2157729","-35.8698447"
"TRAVESSA EDÉSIO SILVA","-7.2415243","-35.8923018"
"AVENIDA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"AVENIDA QUINZE DE NOVEMBRO","-7.1986848","-35.8959945"
"RUA SEVERINO PIMENTEL","-7.2416973","-35.8938156"
"RUA MARGARIDA MARIA ALVES","-7.2423954","-35.9169191"
"RUA JESSÉ BARBOSA DE MENEZES","-7.2006930","-35.8830228"
"RUA JOÃO QUIRINO","-7.2354335","-35.8827645"
"AVENIDA FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA SIQUEIRA CAMPOS","-7.2237598","-35.8931741"
"RUA FLORIPEDES COUTINHO ","-7.2219207","-35.9216233"
"RUA PREFEITO FRANCISCO CAMILO ","-7.2302985","-35.8806433"
"RUA JOAO VALDEVINO ALVES ","-7.2223667","-35.8734667"
"RUA PLÍNIO LEMOS","-7.2297637","-35.9258706"
"TRAVESSA GOIANA ","-7.2737205","-35.9318405"
"RUA GENIPAPO","-7.2223667","-35.8734667"
"AVENIDA JOAO PESSOA","-7.2173955","-35.8858229"
"RUA MANOEL LEONARDO GOMES ","-7.2454219","-35.8968870"
"RUA OTACILIO NEPOMUCENO ","-7.2338966","-35.8729918"
"RUA NATALICIA R. VIEIRA ","-7.2223667","-35.8734667"
"AVENIDA DAS NACOES","-7.1884014","-35.8813203"
"RUA RITA PEREIRA DE ARAUJO ","-7.2210294","-35.9201042"
"RUA SEMEÃO LEAL","-7.2183242","-35.8833199"
"RUA OLEGÁRIO MACIEL","-7.1987196","-35.9159098"
"RUA JOANA DARC","-7.2227657","-35.8720450"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"RUA MAMEDE MOISES RAIA","-7.2196143","-35.8680883"
"RUA ORESTE SIALHO DE ARAUJO","-7.2139712","-35.8697107"
"RUA IPINO PAULINO","-7.2223667","-35.8734667"
"RUA PROFESSORA MARIA DIAS RAMOS","-7.2246107","-35.9226457"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"AVENIDA CANAL","-7.2283635","-35.8791107"
"RUA EZEQUIEL RODRIGUES ","-7.1990918","-35.8822681"
"RUA CARLOS ANTONIO VIEIRA ","-7.2397171","-35.9260127"
"RUA FREIRA FRANCISCA GUSMAO ","-7.2281990","-35.9189281"
"RUA FLORIPEDES COUTINHO","-7.2219207","-35.9216233"
"RUA JOÃO JULIÃO MARTINS","-7.2190748","-35.9080713"
"RUA MARIA DA GUIA MUNIZ DE ALBUQUERQUE","-7.2355900","-35.9312681"
