"","COD","RUA","REFERENCIA","ABRIGO","LATITUDE","LONGITUDE","ROTA"
"487","488","FRANCISCO CALIXTO","135","",-7.21225703135133,-35.9019640367478,"505"
"488","489","JOSE AUGUSTO TRINDADE","199","SIM",-7.21381195820868,-35.8998760208488,"505"
"1500","490","ABEL COSTA","35","",-7.21805496141315,-35.9082330297679,"505"
"1501","491","ABEL COSTA","567 - OPOSTO","SIM",-7.22123798914254,-35.9088829625398,"505"
"491","492","VINTE E SETE DE JULHO","569 - OPOSTO","SIM",-7.22289199009538,-35.9117159619927,"505"
"1503","493","VINTE E SETE DE JULHO","425 - OPOSTO","",-7.22592598758638,-35.9127620235085,"505"
"493","494","FRANCISCO ROBERTO","43 - LATERAL","",-7.22736398689449,-35.9123689960688,"505"
"494","495","FRANCISCO ROBERTO","84 - OPOSTO","",-7.22743699327111,-35.9088180027902,"505"
"495","496","OSVALDO CRUZ","EMBRABA - OPOSTO","SIM",-7.22711697220802,-35.9073619823903,"505"
"496","497","NILO PECANHA","889","",-7.22441699355841,-35.8966410253197,"505"
"8659","572"," FLORIANO PEIXOTO"," 845","",-7.2238630335778,-35.8930979948491,"505"
"2594","573"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"505"
"2595","574"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"505"
"576","577","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"505"
"577","578","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"505"
"578","579","SEVERINO BEZERRA CABRAL ","EXTRA","SIM",-7.23486604169011,-35.868728030473,"505"
"1858","861","OLEGARIO MACIEL","481","",-7.21043899655342,-35.8978610113263,"505"
"1014","003","FERNANDES VIEIRA","449","",-7.22603503614664,-35.8732690103352,"550"
"1015","004","FERNANDES VIEIRA","259","",-7.22511101514101,-35.8747780043632,"550"
"1016","004","BR-230","560","SIM",-7.23794496618211,-35.8661680296063,"550"
"1017","007","BR-230","IGREJA PETENCOSTAL","SIM",-7.23889103159308,-35.864332979545,"550"
