"","COD","RUA","REFERENCIA","ABRIGO","LATITUDE","LONGITUDE","ROTA"
"699","701","CAICO","20","",-7.22674397751689,-35.9302620124072,"660"
"700","702","CAICO","PANIFICADORA","SIM",-7.22899099811912,-35.9285309817642,"660"
"701","703","CAICO","ESCOLA CARLOS DRUMOND DE ANDRADE","SIM",-7.23121798597276,-35.9273470379412,"660"
"854","875","SANTAREM","","",-7.23373398184776,-35.9284279681742,"660"
"855","876","SANTAREM","NECAO BAR - OPOSTO","",-7.23377899266779,-35.9284759964794,"660"
"865","886","ENGENHEIRO LOURIVAL DE ANDRADE","CENTRO AUTOMOTIVO - OPOSTO","",-7.2306979727,-35.9163450356573,"660"
"866","887","ENGENHEIRO LOURIVAL DE ANDRADE","1835","",-7.23102604039013,-35.916199022904,"660"
"9146","048","MELO LEITAO ","PRACINHA","SIM",-7.22282401286066,-35.8928170334547,"900"
"10158","049","DOM PEDRO I","480","SIM",-7.22605196759105,-35.8925590384751,"900"
"49","050","DOM PEDRO I","MORTUARIA","",-7.22784301266074,-35.8933269884437,"900"
"9148","050","DOM PEDRO I","MORTUARIA","",-7.22784301266074,-35.8933269884437,"900"
"9149","051","ALMIRANTE BARROSO","MATERIAL DE CONSTRUCAO","SIM",-7.23009296692908,-35.8938159886747,"900"
"3119","087","ALMIRANTE BARROSO"," 1599","",-7.24269700236619,-35.9018239751458,"900"
"3120","088","ALMIRANTE BARROSO"," PANIFICADORA SOUZA","",-7.24125196225941,-35.9008530154824,"900"
"3121","089","ALMIRANTE BARROSO","1043","",-7.23895096220076,-35.8988789934664,"900"
"6156","091","ALMIRANTE BARROSO"," BORBOREMA","SIM",-7.23080903291702,-35.8937979675829,"900"
"6157","092","DOM PEDRO I"," HOSPITAL","SIM",-7.22901798784733,-35.8934030123054,"900"
"6158","093","DOM PEDRO I"," FACULDADE DE COMUNICACAO","SIM",-7.22632303833961,-35.8925300370901,"900"
"2121","100","FLORIANO PEIXOTO","1054","",-7.21759496256709,-35.8796020410955,"900"
"3188","156","ALMIRANTE BARROSO"," 303 - OPOSTO","SIM",-7.23356802016497,-35.8949079830199,"900"
"3189","157","ALMIRANTE BARROSO"," 470A","",-7.23476696759462,-35.895782969892,"900"
"3190","158","ALMIRANTE BARROSO"," 820","SIM",-7.23725002259016,-35.8977539744228,"900"
"3191","159","ALMIRANTE BARROSO","PANIFICADORA RAINHA DO CRUZEIRO","SIM",-7.23853002302349,-35.8987029734999,"900"
"3192","160","ALMIRANTE BARROSO","1408","",-7.24104903638363,-35.9009049832821,"900"
"3193","161","ALMIRANTE BARROSO","1716","",-7.24324903450906,-35.9025540389121,"900"
"1196","186","JUSCELINO KUBITSCHEK ","CRUZEIRO - OPOSTO","",-7.24449399858713,-35.9034939855337,"900"
"1197","187","JUSCELINO KUBITSCHEK, ","1295 - OPOSTO","",-7.24685400724411,-35.9047699626535,"900"
"1198","188","JUSCELINO KUBITSCHEK ","IGREJA VERBO DA VIDA","",-7.24851001985371,-35.905617037788,"900"
"1199","189","JUSCELINO KUBITSCHEK","1800","",-7.25038697943091,-35.9065249655396,"900"
"1200","190","JUSCELINO KUBITSCHEK","1856","",-7.2517020162195,-35.9072599746287,"900"
"1204","194","JUSCELINO KUBITSCHEK","2910","SIM",-7.26105001755059,-35.9118889644742,"900"
"1205","195","JUSCELINO KUBITSCHEK","2739","",-7.25824803113937,-35.9103829879314,"900"
"1207","197","JUSCELINO KUBITSCHEK"," 1791","SIM",-7.25111897103489,-35.9066889993846,"900"
"1208","198","JUSCELINO KUBITSCHEK","1679","",-7.24999998696148,-35.9061239752918,"900"
"1209","199","JUSCELINO KUBITSCHEK","1533","",-7.24861102178693,-35.9054339770228,"900"
"1210","200","JUSCELINO KUBITSCHEK"," 1295","",-7.24698803387582,-35.9045900031924,"900"
"1211","201","JUSCELINO KUBITSCHEK","830 - OPOSTO","",-7.24488300271332,-35.903491973877,"900"
"7396","320","ODON BEZERRA","627","",-7.23635701462626,-35.8962830342352,"900"
"8136","049","DOM PEDRO I","480","SIM",-7.22605196759105,-35.8925590384751,"901"
"7126","050","DOM PEDRO I","MORTUARIA","",-7.22784301266074,-35.8933269884437,"901"
"7127","051","ALMIRANTE BARROSO","MATERIAL DE CONSTRUCAO","SIM",-7.23009296692908,-35.8938159886747,"901"
"6152","087","ALMIRANTE BARROSO"," 1599","",-7.24269700236619,-35.9018239751458,"901"
"6153","088","ALMIRANTE BARROSO"," PANIFICADORA SOUZA","",-7.24125196225941,-35.9008530154824,"901"
"6154","089","ALMIRANTE BARROSO","1043","",-7.23895096220076,-35.8988789934664,"901"
"4133","090","ALMIRANTE BARROSO","149","",-7.23222197033465,-35.8941419608891,"901"
"7167","091","ALMIRANTE BARROSO"," BORBOREMA","SIM",-7.23080903291702,-35.8937979675829,"901"
"7168","092","DOM PEDRO I"," HOSPITAL","SIM",-7.22901798784733,-35.8934030123054,"901"
"7169","093","DOM PEDRO I"," FACULDADE DE COMUNICACAO","SIM",-7.22632303833961,-35.8925300370901,"901"
"99","100","FLORIANO PEIXOTO","1054","",-7.21759496256709,-35.8796020410955,"901"
"4199","156","ALMIRANTE BARROSO"," 303 - OPOSTO","SIM",-7.23356802016497,-35.8949079830199,"901"
"4200","157","ALMIRANTE BARROSO"," 470A","",-7.23476696759462,-35.895782969892,"901"
"4201","158","ALMIRANTE BARROSO"," 820","SIM",-7.23725002259016,-35.8977539744228,"901"
"4202","159","ALMIRANTE BARROSO","PANIFICADORA RAINHA DO CRUZEIRO","SIM",-7.23853002302349,-35.8987029734999,"901"
"4203","160","ALMIRANTE BARROSO","1408","",-7.24104903638363,-35.9009049832821,"901"
"4204","161","ALMIRANTE BARROSO","1716","",-7.24324903450906,-35.9025540389121,"901"
"5216","162","ALMIRANTE BARROSO","1908","",-7.24415503442288,-35.9040699899197,"901"
"4206","163","ALMIRANTE BARROSO","2248","",-7.24545196630061,-35.9067100379616,"901"
"4207","164","ALMIRANTE BARROSO","2690","",-7.24616099148989,-35.910662021488,"901"
"4208","165","FRANCISCO LOPES DE ALMEIDA"," 242","SIM",-7.24632997065783,-35.9124610293657,"901"
"7257","181","FRANCISCO LOPES DE ALMEIDA","155","",-7.2464850358665,-35.9127799607813,"901"
"5236","182","ALMIRANTE BARROSO","2591","SIM",-7.24621597677469,-35.9102839976549,"901"
"5237","183","ALMIRANTE BARROSO"," 2439","",-7.24597902037203,-35.9087330102921,"901"
"5238","184","ALMIRANTE BARROSO ","A&C","",-7.24527200683951,-35.9058489650488,"901"
"5239","185","ALMIRANTE BARROSO","1812","",-7.24399804137647,-35.9036339633167,"901"
"8407","320","ODON BEZERRA","627","",-7.23635701462626,-35.8962830342352,"901"
"6114","049","DOM PEDRO I","480","SIM",-7.22605196759105,-35.8925590384751,"902"
"5104","050","DOM PEDRO I","MORTUARIA","",-7.22784301266074,-35.8933269884437,"902"
"5105","051","ALMIRANTE BARROSO","MATERIAL DE CONSTRUCAO","SIM",-7.23009296692908,-35.8938159886747,"902"
"7166","090","ALMIRANTE BARROSO","149","",-7.23222197033465,-35.8941419608891,"902"
"10200","091","ALMIRANTE BARROSO"," BORBOREMA","SIM",-7.23080903291702,-35.8937979675829,"902"
"10201","092","DOM PEDRO I"," HOSPITAL","SIM",-7.22901798784733,-35.8934030123054,"902"
"10202","093","DOM PEDRO I"," FACULDADE DE COMUNICACAO","SIM",-7.22632303833961,-35.8925300370901,"902"
"6221","156","ALMIRANTE BARROSO"," 303 - OPOSTO","SIM",-7.23356802016497,-35.8949079830199,"902"
"6222","157","ALMIRANTE BARROSO"," 470A","",-7.23476696759462,-35.895782969892,"902"
"6223","158","ALMIRANTE BARROSO"," 820","SIM",-7.23725002259016,-35.8977539744228,"902"
"6224","159","ALMIRANTE BARROSO","PANIFICADORA RAINHA DO CRUZEIRO","SIM",-7.23853002302349,-35.8987029734999,"902"
"6225","160","ALMIRANTE BARROSO","1408","",-7.24104903638363,-35.9009049832821,"902"
"6226","161","ALMIRANTE BARROSO","1716","",-7.24324903450906,-35.9025540389121,"902"
"1172","162","ALMIRANTE BARROSO","1908","",-7.24415503442288,-35.9040699899197,"902"
"1173","163","ALMIRANTE BARROSO","2248","",-7.24545196630061,-35.9067100379616,"902"
"1174","164","ALMIRANTE BARROSO","2690","",-7.24616099148989,-35.910662021488,"902"
"1175","165","FRANCISCO LOPES DE ALMEIDA"," 242","SIM",-7.24632997065783,-35.9124610293657,"902"
"1176","166","FRANCISCO LOPES DE ALMEIDA ","SAFRA - OPOSTO","SIM",-7.24641202948987,-35.916228024289,"902"
"1177","167","FRANCISCO LOPES DE ALMEIDA","115","",-7.2465209942311,-35.9187900368124,"902"
"1178","168","FRANCISCO LOPES DE ALMEIDA ","POSTO DE SAUDE","",-7.2469649836421,-35.9208929724991,"902"
"1179","169","FRANCISCO LOPES DE ALMEIDA ","LAVA JATO","",-7.24875502288342,-35.9232099819928,"902"
"169","170","FRANCISCO LOPES DE ALMEIDA"," 2011 - OPOSTO","",-7.25153001956642,-35.9282879903913,"902"
"1181","171","FRANCISCO LOPES DE ALMEIDA ","SEST - SENAT","SIM",-7.25160595960915,-35.9293710161,"902"
"1182","172","FRANCISCO LOPES DE ALMEIDA ","CIRETRAN","",-7.25173403508961,-35.9306139685214,"902"
"1183","173","FRANCISCO LOPES DE ALMEIDA ","CIRETRAN - OPOSTO","",-7.2518920339644,-35.9308210015297,"902"
"2195","174","FRANCISCO LOPES DE ALMEIDA","1995","",-7.25159699097276,-35.9281009901315,"902"
"2196","175","FRANCISCO LOPES DE ALMEIDA","1914","",-7.2511319629848,-35.9268670063466,"902"
"2197","176","FRANCISCO LOPES DE ALMEIDA","699","",-7.24927201867104,-35.923767965287,"902"
"2198","177","FRANCISCO LOPES DE ALMEIDA"," 09","",-7.24842896685004,-35.9226629789919,"902"
"2199","178","FRANCISCO LOPES DE ALMEIDA","06","SIM",-7.24731501191854,-35.9211969841272,"902"
"2200","179","FRANCISCO LOPES DE ALMEIDA"," 839","",-7.24662501364946,-35.9189340379089,"902"
"2201","180","FRANCISCO LOPES DE ALMEIDA ","SAFRA","SIM",-7.24648796953261,-35.9162049740553,"902"
"2202","181","FRANCISCO LOPES DE ALMEIDA","155","",-7.2464850358665,-35.9127799607813,"902"
"2203","182","ALMIRANTE BARROSO","2591","SIM",-7.24621597677469,-35.9102839976549,"902"
"2204","183","ALMIRANTE BARROSO"," 2439","",-7.24597902037203,-35.9087330102921,"902"
"2205","184","ALMIRANTE BARROSO ","A&C","",-7.24527200683951,-35.9058489650488,"902"
"2206","185","ALMIRANTE BARROSO","1812","",-7.24399804137647,-35.9036339633167,"902"
"10429","320","ODON BEZERRA","627","",-7.23635701462626,-35.8962830342352,"902"
"1818","821","RODOVIA RAIMUNDO ASFORA","ENTRADA DO VERDEJANTE","SIM",-7.25238396786153,-35.9335899632424,"902"
"104","105","FLORIANO PEIXOTO ","JUIZADO DO CONSUMIDOR","",-7.21911401487887,-35.883358977735,"903"
"5261","207","MANOEL GONCALVES DE GUMARAES ","FIEP","SIM",-7.22221397794783,-35.8756030350924,"903"
"5262","208","JILO GUEDES","39","SIM",-7.21866801381111,-35.8754870295525,"903"
"456","457","APRÍGIO VELOSO","CANTINHO UNIVERSITARIO","SIM",-7.21743503585458,-35.9092199988663,"903"
"457","458","APRÍGIO VELOSO","CABRAL","SIM",-7.21667798236012,-35.9071769937873,"903"
"458","459","APRÍGIO VELOSO","CABRAL","SIM",-7.21667798236012,-35.9071769937873,"903"
"459","460","APRÍGIO VELOSO","LUCENA RACOES","SIM",-7.21617003902793,-35.9045879915357,"903"
"2498","477","MARQUES DO HERVAL","REDEPHARMA","",-7.21829200163484,-35.8851360250264,"903"
"2499","478","MARQUES DO HERVAL","ALUÍSIO CALCADOS","",-7.21811195835471,-35.8851839695126,"903"
"1576","566","RODRIGUES ALVES","CASA DA PIZZA","",-7.22163202241063,-35.8918299805373,"903"
"595","596","APRIGIO VELOSO","1495 - OPOSTO","SIM",-7.21633600071073,-35.9162049740553,"903"
"596","597","PORTUGAL","255 - OPOSTO","",-7.21429701894522,-35.9197520278394,"903"
"597","598","BR-230","MASTODONTE","SIM",-7.19711998477578,-35.9557460155338,"903"
"598","599","BENICIO FERNANDES","352 - SAO JOSE DA MATA","SIM",-7.18060595914721,-35.9848299622536,"903"
"599","600","MONSENHOR SALES","LAVA JATO - SAO JOSE DA MATA","SIM",-7.18402703292668,-35.9815429989249,"903"
"600","601","BR-230","CHURRASCARIA RECANTO DAS AGUAS","SIM",-7.18631998635828,-35.9715400356799,"903"
"601","602","BR-230","5825","SIM",-7.18806702643633,-35.9688040148467,"903"
"602","603","BR-230","4385","SIM",-7.19510103575885,-35.9621809702367,"903"
"603","604","BR-230","3425","SIM",-7.19903298653662,-35.9536389727145,"903"
"604","605","BR-230","ESCOLA MUNICIPAL MAURO LUNA","SIM",-7.20068899914622,-35.9526850283146,"903"
"605","606","APRIGIO VELOSO","COLEGIO CARMELA VELOSO","SIM",-7.21661696210504,-35.9153269696981,"903"
"606","608","BR-230","2105 - OPOSTO","SIM",-7.20524800010026,-35.9500709641725,"903"
"607","609","BR-230","ESCOLA IRMA JOAQUINA SAMPAIO","SIM",-7.20844401977956,-35.9465819969773,"903"
"608","610","RAFAELA SOUSA E SILVA","J.N. CARNES","SIM",-7.22720498219132,-35.9516149945557,"903"
"609","611","RAFAELA SOUSA E SILVA","18","SIM",-7.22590997815132,-35.9504339843988,"903"
"610","612","RAFAELA SOUSA E SILVA","28 - OPOSTO","",-7.2246159799397,-35.9492060355842,"903"
"611","613","RAFAELA SOUSA E SILVA","54 - OPOSTO","SIM",-7.2233590297401,-35.9487730264664,"903"
"612","614","RAFAELA SOUSA E SILVA","","",-7.22080003470182,-35.9508499782532,"903"
"613","615","RAFAELA SOUSA E SILVA","","",-7.2198620159179,-35.9511290118098,"903"
"614","616","ARISTIDES OLIMPIO MAIA","PRESIDIO DO SERROTAO","SIM",-7.21686498261988,-35.9510150179267,"903"
"615","617","ARISTIDES OLIMPIO MAIA","9A - OPOSTO","",-7.21425795927644,-35.9491350408643,"903"
"616","618","BR-230","828 - OPOSTO","SIM",-7.21050596795976,-35.940056014806,"903"
"617","619","BR-230","","SIM",-7.21064602956176,-35.9334629774094,"903"
"618","620","BR-230","1479","SIM",-7.21154901199043,-35.9303549677134,"903"
"619","621","BR-230","1365","SIM",-7.21283496357501,-35.9282139781862,"903"
"620","622","BR-230","1016 - OPOSTO","",-7.21371900290251,-35.9264019783586,"903"
"1632","623","PORTUGAL","55","",-7.21550996415317,-35.9186880290508,"903"
"622","624","APRIGIO VELOSO","COLEGIO CARMELA VELOSO","SIM",-7.21661696210504,-35.9153269696981,"903"
"1634","625","GETULIO VARGAS","1127","SIM",-7.21689398400486,-35.8951259963214,"903"
"1635","626","GETULIO VARGAS","948 - OPOSTO","",-7.21728298813105,-35.8935709856451,"903"
"3759","729","VILA NOVA DA RAINHA","COLEGIO 11 DE OUTUBRO","",-7.22036199644208,-35.8793359994888,"903"
"3760","730","VILA NOVA DA RAINHA","141","",-7.22183695994318,-35.8782089687884,"903"
"3761","731","VILA NOVA DA RAINHA","23 - VIZINHO","",-7.2226230148226,-35.8775889594108,"903"
"3835","815","PEDRO II","597","SIM",-7.21956102177501,-35.8928280137479,"903"
"3044","012","FLORIANO PEIXOTO","OI - TELEMAR","",-7.22037901170551,-35.8855550363659,"904"
"450","451","APRÍGIO VELOSO","UFCG","",-7.21719900146127,-35.9090940188617,"909"
"451","452","APRÍGIO VELOSO","UFCG","",-7.21719900146127,-35.9090940188617,"909"
"452","453","APRÍGIO VELOSO","UFCG","SIM",-7.21716698259115,-35.9090029913932,"909"
"453","454","APRÍGIO VELOSO","LAVA-JATO - OPOSTO","",-7.21715499646962,-35.9107529651374,"909"
"2402","381","EPITACIO PESSOA","10","",-7.21363300457597,-35.8889600168914,"910"
"1392","382","XV DE NOVEMBRO","518","",-7.20949896611273,-35.8917879872024,"910"
"1393","383","XV DE NOVEMBRO","688","",-7.20821896567941,-35.8926479704678,"910"
"1394","384","XV DE NOVEMBRO","976","",-7.20621300861239,-35.8940889872611,"910"
"1395","385","XV DE NOVEMBRO","118","SIM",-7.20471600070596,-35.8948079869151,"910"
"385","386","XV DE NOVEMBRO","EST DA PALMEIRA","SIM",-7.19941503368318,-35.8959859795868,"910"
"386","387","ANTONIO ALVES LIMA","368","",-7.19633300788701,-35.8925140276551,"910"
"387","388","ROBERVAL RODRIGUES DE LIMA","230 - OPOSTO","",-7.19693097285926,-35.8919179905206,"910"
"388","389","ANTONIO ALVES LIMA","40B - OPOSTO","",-7.19621297903359,-35.8928320370615,"910"
"389","390","PARIS","2636 - OPOSTO","",-7.18951198272407,-35.8985120337456,"910"
"390","391","PARIS","2819","",-7.18656700104475,-35.9004790149629,"910"
"391","392","JENIPAPO","","",-7.16724897734821,-35.9135879762471,"910"
"392","393","JENIPAPO","","",-7.16775398701429,-35.915902974084,"910"
"393","394","JENIPAPO","","SIM",-7.16769397258758,-35.9183229971677,"910"
"394","395","JENIPAPO","","",-7.16620400547981,-35.9177609905601,"910"
"395","396","JENIPAPO","","",-7.16202998533845,-35.9172790311277,"910"
"396","397","JENIPAPO","","SIM",-7.15981096029282,-35.9181869588792,"910"
"397","398","JENIPAPO","PONTO FINAL","SIM",-7.1576979663223,-35.9171730000526,"910"
"398","399","JENIPAPO","IGREJA","",-7.1666950173676,-35.9101700037718,"910"
"399","400","JENIPAPO","476","",-7.16769598424435,-35.9092840366066,"910"
"400","401","PARIS","CHACARA","",-7.17784898355603,-35.9084190241992,"910"
"401","402","PARIS","2429","SIM",-7.18139201402664,-35.906052980572,"910"
"402","403","BRUXELAS","101 - OPOSTO","SIM",-7.18995203264058,-35.9033669997007,"910"
"403","404","BRUXELAS","101","",-7.1899510268122,-35.9032970108092,"910"
"404","405","BRUXELAS","27","",-7.18799502588809,-35.9040079638362,"910"
"405","406","BERNA","DEPOSITO DE GAS","",-7.18708198517561,-35.9027790091932,"910"
"406","407","MADRID","460","",-7.18717100098729,-35.9037470351905,"910"
"407","408","BRUXELAS","COLEGIO ESTADUAL","",-7.18544198200107,-35.9049579687417,"910"
"408","409","VARSOVIA","","SIM",-7.18383802101016,-35.9028220083565,"910"
"409","410","PARIS","","SIM",-7.18584699556231,-35.90127998963,"910"
"410","411","PARIS","2933","SIM",-7.19347100704908,-35.8955289982259,"910"
"411","412","XV DE NOVEMBRO","TV PARAÍBA","SIM",-7.19635203480721,-35.8959139790386,"910"
"412","413","XV DE NOVEMBRO","EST DA PALMEIRA","",-7.19954503700137,-35.8960559684783,"910"
"413","414","XV DE NOVEMBRO","1369","",-7.20284499228001,-35.8953200373799,"910"
"414","415","XV DE NOVEMBRO","1225","",-7.20426002517343,-35.8949489705265,"910"
"1426","416","PROFESSOR BALBINO","601","",-7.20588997006416,-35.8949509821832,"910"
"1427","417","SAO JOAO","57","",-7.20772895962,-35.8954359591007,"910"
"1428","418","SAO JOAO","271","",-7.20818099565804,-35.8944400213659,"910"
"1429","419","DESEMBARGADOR AZEVEDO","791","",-7.2094179969281,-35.893074022606,"910"
"1430","420","DESEMBARGADOR AZEVEDO","445 - LATERAL","",-7.21102296374738,-35.891942968592,"910"
"1431","421","TAVARES CAVALCANTE","454 - OPOSTO","",-7.21751902252436,-35.8779509738088,"910"
"1432","422","TAVARES CAVALCANTE","599 - OPOSTO","",-7.21780803054571,-35.8767350111157,"910"
"1486","476","SIQUEIRA CAMPOS","1045","",-7.21504602581263,-35.8900619857013,"910"
"1487","477","MARQUES DO HERVAL","REDEPHARMA","",-7.21829200163484,-35.8851360250264,"910"
"1488","478","MARQUES DO HERVAL","ALUÍSIO CALCADOS","",-7.21811195835471,-35.8851839695126,"910"
"763","766","XV DE NOVEMBRO","TV PARAIBA","",-7.19601701013744,-35.8958090376109,"910"
"9147","049","DOM PEDRO I","480","SIM",-7.22605196759105,-35.8925590384751,"911"
"8137","050","DOM PEDRO I","MORTUARIA","",-7.22784301266074,-35.8933269884437,"911"
"8138","051","ALMIRANTE BARROSO","MATERIAL DE CONSTRUCAO","SIM",-7.23009296692908,-35.8938159886747,"911"
"7163","087","ALMIRANTE BARROSO"," 1599","",-7.24269700236619,-35.9018239751458,"911"
"7164","088","ALMIRANTE BARROSO"," PANIFICADORA SOUZA","",-7.24125196225941,-35.9008530154824,"911"
"7165","089","ALMIRANTE BARROSO","1043","",-7.23895096220076,-35.8988789934664,"911"
"5144","090","ALMIRANTE BARROSO","149","",-7.23222197033465,-35.8941419608891,"911"
"8178","091","ALMIRANTE BARROSO"," BORBOREMA","SIM",-7.23080903291702,-35.8937979675829,"911"
"8179","092","DOM PEDRO I"," HOSPITAL","SIM",-7.22901798784733,-35.8934030123054,"911"
"8180","093","DOM PEDRO I"," FACULDADE DE COMUNICACAO","SIM",-7.22632303833961,-35.8925300370901,"911"
"1110","100","FLORIANO PEIXOTO","1054","",-7.21759496256709,-35.8796020410955,"911"
"5210","156","ALMIRANTE BARROSO"," 303 - OPOSTO","SIM",-7.23356802016497,-35.8949079830199,"911"
"5211","157","ALMIRANTE BARROSO"," 470A","",-7.23476696759462,-35.895782969892,"911"
"5212","158","ALMIRANTE BARROSO"," 820","SIM",-7.23725002259016,-35.8977539744228,"911"
"5213","159","ALMIRANTE BARROSO","PANIFICADORA RAINHA DO CRUZEIRO","SIM",-7.23853002302349,-35.8987029734999,"911"
"5214","160","ALMIRANTE BARROSO","1408","",-7.24104903638363,-35.9009049832821,"911"
"5215","161","ALMIRANTE BARROSO","1716","",-7.24324903450906,-35.9025540389121,"911"
"4205","162","ALMIRANTE BARROSO","1908","",-7.24415503442288,-35.9040699899197,"911"
"5217","163","ALMIRANTE BARROSO","2248","",-7.24545196630061,-35.9067100379616,"911"
"5218","164","ALMIRANTE BARROSO","2690","",-7.24616099148989,-35.910662021488,"911"
"5219","165","FRANCISCO LOPES DE ALMEIDA"," 242","SIM",-7.24632997065783,-35.9124610293657,"911"
"8268","181","FRANCISCO LOPES DE ALMEIDA","155","",-7.2464850358665,-35.9127799607813,"911"
"6247","182","ALMIRANTE BARROSO","2591","SIM",-7.24621597677469,-35.9102839976549,"911"
"6248","183","ALMIRANTE BARROSO"," 2439","",-7.24597902037203,-35.9087330102921,"911"
"6249","184","ALMIRANTE BARROSO ","A&C","",-7.24527200683951,-35.9058489650488,"911"
"6250","185","ALMIRANTE BARROSO","1812","",-7.24399804137647,-35.9036339633167,"911"
"9418","320","ODON BEZERRA","627","",-7.23635701462626,-35.8962830342352,"911"
"11168","048","MELO LEITAO ","PRACINHA","SIM",-7.22282401286066,-35.8928170334547,"922"
"5141","087","ALMIRANTE BARROSO"," 1599","",-7.24269700236619,-35.9018239751458,"922"
"5142","088","ALMIRANTE BARROSO"," PANIFICADORA SOUZA","",-7.24125196225941,-35.9008530154824,"922"
"5143","089","ALMIRANTE BARROSO","1043","",-7.23895096220076,-35.8988789934664,"922"
"8177","090","ALMIRANTE BARROSO","149","",-7.23222197033465,-35.8941419608891,"922"
"11211","091","ALMIRANTE BARROSO"," BORBOREMA","SIM",-7.23080903291702,-35.8937979675829,"922"
"11212","092","DOM PEDRO I"," HOSPITAL","SIM",-7.22901798784733,-35.8934030123054,"922"
"11213","093","DOM PEDRO I"," FACULDADE DE COMUNICACAO","SIM",-7.22632303833961,-35.8925300370901,"922"
"8245","158","ALMIRANTE BARROSO"," 820","SIM",-7.23725002259016,-35.8977539744228,"922"
"7235","159","ALMIRANTE BARROSO","PANIFICADORA RAINHA DO CRUZEIRO","SIM",-7.23853002302349,-35.8987029734999,"922"
"7236","160","ALMIRANTE BARROSO","1408","",-7.24104903638363,-35.9009049832821,"922"
"7237","161","ALMIRANTE BARROSO","1716","",-7.24324903450906,-35.9025540389121,"922"
"2191","170","FRANCISCO LOPES DE ALMEIDA"," 2011 - OPOSTO","",-7.25153001956642,-35.9282879903913,"922"
"2192","171","FRANCISCO LOPES DE ALMEIDA ","SEST - SENAT","SIM",-7.25160595960915,-35.9293710161,"922"
"2193","172","FRANCISCO LOPES DE ALMEIDA ","CIRETRAN","",-7.25173403508961,-35.9306139685214,"922"
"2194","173","FRANCISCO LOPES DE ALMEIDA ","CIRETRAN - OPOSTO","",-7.2518920339644,-35.9308210015297,"922"
"1184","174","FRANCISCO LOPES DE ALMEIDA","1995","",-7.25159699097276,-35.9281009901315,"922"
"3207","175","FRANCISCO LOPES DE ALMEIDA","1914","",-7.2511319629848,-35.9268670063466,"922"
"3208","176","FRANCISCO LOPES DE ALMEIDA","699","",-7.24927201867104,-35.923767965287,"922"
"3209","177","FRANCISCO LOPES DE ALMEIDA"," 09","",-7.24842896685004,-35.9226629789919,"922"
"3210","178","FRANCISCO LOPES DE ALMEIDA","06","SIM",-7.24731501191854,-35.9211969841272,"922"
"3211","179","FRANCISCO LOPES DE ALMEIDA"," 839","",-7.24662501364946,-35.9189340379089,"922"
"3212","180","FRANCISCO LOPES DE ALMEIDA ","SAFRA","SIM",-7.24648796953261,-35.9162049740553,"922"
"3213","181","FRANCISCO LOPES DE ALMEIDA","155","",-7.2464850358665,-35.9127799607813,"922"
"3214","182","ALMIRANTE BARROSO","2591","SIM",-7.24621597677469,-35.9102839976549,"922"
"3215","183","ALMIRANTE BARROSO"," 2439","",-7.24597902037203,-35.9087330102921,"922"
"3216","184","ALMIRANTE BARROSO ","A&C","",-7.24527200683951,-35.9058489650488,"922"
"3217","185","ALMIRANTE BARROSO","1812","",-7.24399804137647,-35.9036339633167,"922"
"5374","320","ODON BEZERRA","627","",-7.23635701462626,-35.8962830342352,"922"
"804","818","RAUL PEREIRA DA SILVA","UBSF","SIM",-7.25314998999238,-35.9345969650894,"922"
"805","819","ZACARIAS RIBEIRO VASCONCELOS","270A","",-7.25425698794425,-35.9341740142554,"922"
"806","820","ZACARIAS RIBEIRO VASCONCELOS","110","",-7.25459100678563,-35.933914007619,"922"
"2829","821","RODOVIA RAIMUNDO ASFORA","ENTRADA DO VERDEJANTE","SIM",-7.25238396786153,-35.9335899632424,"922"
"4055","012","FLORIANO PEIXOTO","OI - TELEMAR","",-7.22037901170551,-35.8855550363659,"944"
"12223","092","DOM PEDRO I"," HOSPITAL","SIM",-7.22901798784733,-35.8934030123054,"944"
"12224","093","DOM PEDRO I"," FACULDADE DE COMUNICACAO","SIM",-7.22632303833961,-35.8925300370901,"944"
"213","214","SEVERINO CRUZ ","COLEGIO FÊNIX","SIM",-7.22313003614545,-35.8781760279089,"944"
"214","215","SEVERINO CRUZ ","HOSPITAL GARDEN","",-7.22541402094066,-35.8827340230346,"944"
"227","228","BR-104 (SUL)","PARQUE DE EXPOSICOES","SIM",-7.28550899773836,-35.8895869832486,"944"
"1289","279","ASSIS CHATEAUBRIAND"," 300","",-7.23075496964157,-35.889254976064,"944"
"1290","280","ASSIS CHATEAUBRIAND","478","",-7.23256504163146,-35.889062024653,"944"
"1291","281","ASSIS CHATEAUBRIAND"," POSTO IPIRANGA","",-7.23594898357987,-35.8886959869415,"944"
"1292","282","ASSIS CHATEAUBRIAND ","SECRETARIA DE SAUDE","SIM",-7.24041000008583,-35.8881799969822,"944"
"282","283","ASSIS CHATEAUBRIAND","1750 - OPOSTO","SIM",-7.24317200481892,-35.8878779970109,"944"
"283","284","ASSIS CHATEAUBRIAND ","ESCOLA MONSENHOR SALES","SIM",-7.24641898646951,-35.8874009829015,"944"
"284","285","ASSIS CHATEAUBRIAND ","VOLVO","",-7.25119398906827,-35.8873719815165,"944"
"285","286","ASSIS CHATEAUBRIAND ","CDRM","",-7.25285000167787,-35.8873029984534,"944"
"286","287","ASSIS CHATEAUBRIAND ","NAZARIA","SIM",-7.25773598067462,-35.8871810417622,"944"
